Serial,direccion,Dirección del Inmueble,Colonia,Estado,Código postal
817,"Calle Cereales # 102-4. Col. progreso del sur C. P. 09810 delegación iztapalapa, Ciudad de México",Calle Cereales # 102-4. Col. progreso del sur C. P. 09810 delegación iztapalapa,Progreso del Sur,Ciudad de México,9810
818,"Pilares 1108-3, Ciudad de México",Pilares 1108-3,LETRAN VALLE,Ciudad de México,3650
819,"San Lorenzo 604, Ciudad de México",San Lorenzo 604,Del Valle,Ciudad de México,3100
820,"Toledo 32, Ciudad de México",Toledo 32,JUÁREZ,Ciudad de México,6500
821,"Campeche 346, Hipodromo, CDMX. 06100, -","Campeche 346, Hipodromo, CDMX. 06100",Hipódromo Condesa,-,-
822,"Manuel Navarrete #32, Ciudad de México",Manuel Navarrete #32,ALGARIN,Ciudad de México,6880
823,"República de Cuba 78, Ciudad de México",República de Cuba 78,CENTRO HISTÓRICO,Ciudad de México,6010
824,"Río Consulado 800, Ciudad de México",Río Consulado 800,Ampliación del gas,Ciudad de México,2980
825,"Zaachila y paseo de las jacarandas S/N La raza, Ciudad de México",Zaachila y paseo de las jacarandas S/N La raza,Atzcapotzalco,Ciudad de México,2990
826,"Puebla 334, Ciudad de México",Puebla 334,Roma Norte,Ciudad de México,6700
827,"Eje 3 Sur 149 ( Dr. Morones Prieto #149), Ciudad de México",Eje 3 Sur 149 ( Dr. Morones Prieto #149),Doctores,Ciudad de México,6720
828,"san alberto mnz 574 lote 3, col pedregal santa ursula coapa, Ciudad de México","san alberto mnz 574 lote 3, col pedregal santa ursula coapa",santa ursula coapa,Ciudad de México,4600
829,"Sanchez Azcona 1315, Ciudad de México",Sanchez Azcona 1315,Del Valle,Ciudad de México,3100
830,"Avenida México 55, Ciudad de México",Avenida México 55,Hipódromo Condesa,Ciudad de México,6100
831,"Alemán 149 mz1 lt19, Ciudad de México",Alemán 149 mz1 lt19,Progresista,Ciudad de México,9240
832,"Maestro Deciderio Peña #9, Ciudad de México",Maestro Deciderio Peña #9,San Jeronimo,Ciudad de México,16420
834,"MUNICIPIO LIBRE 54, Ciudad de México",MUNICIPIO LIBRE 54,PORTALES NORTE,Ciudad de México,3300
835,"Toltecas 24, Estado de México",Toltecas 24,Santa clara coatitla,Estado de México,55540
836,"Privada de Chimalistac no. 42 B-704, Ciudad de México",Privada de Chimalistac no. 42 B-704,Oxtopulco,Ciudad de México,1070
837,"san Antonio abad núm 62, Ciudad de México",san Antonio abad núm 62,TRANSITO,Ciudad de México,6820
838,"Batallones Rojos 205, Edificio 67- Departamento 501, Ciudad de México","Batallones Rojos 205, Edificio 67- Departamento 501",San Felipe Terremotes,Ciudad de México,9370
841,"Guatemala, no. 4, Morelos","Guatemala, no. 4",Ampliación Lagunilla,Morelos,62039
843,"Coyuca 16, Ciudad de México",Coyuca 16,Unidad habitacional Ermita Zaragoza,Ciudad de México,9180
844,"Dr. José María Vertiz 800, Ciudad de México",Dr. José María Vertiz 800,Narvarte Oriente,Ciudad de México,6700
845,"Francisco de Lorenzana 14 a2, Ciudad de México",Francisco de Lorenzana 14 a2,SAN RAFAEL,Ciudad de México,6470
846,"san francisco 352, Ciudad de México",san francisco 352,Del Valle,Ciudad de México,3100
847,"Camargo 7, Ciudad de México",Camargo 7,HIPÓDROMO,Ciudad de México,6100
848,"Francisco I. Madero 110 colonia San bartolo ameyalco delegación Álvaro Obregón C.P. 01800, Estado de México",Francisco I. Madero 110 colonia San bartolo ameyalco delegación Álvaro Obregón C.P. 01800,SAN BARTOLO AMEYALCO,Estado de México,1800
849,"JOSE JASSO 101, Ciudad de México",JOSE JASSO 101,MOCTEZUMA 1A SECCION,Ciudad de México,15500
851,"Paseo de los Nogales 65, Ciudad de México",Paseo de los Nogales 65,Paseos de Taxqueña,Ciudad de México,4250
853,"Rincón del Sur 15 Edificio 5, Ciudad de México",Rincón del Sur 15 Edificio 5,"Bosque Residencial del Sur, Delegación Xochimilco",Ciudad de México,16010
854,"oriente 83 numero 4414, Ciudad de México",oriente 83 numero 4414,malinche,Ciudad de México,7890
855,"Morelos 153, Ciudad de México",Morelos 153,San pedro,Ciudad de México,16090
857,"Tepozteco mza.639 lte. 49, Estado de México",Tepozteco mza.639 lte. 49,ciudad azteca 3 a secc,Estado de México,55120
858,"Salto del Agua #235, Estado de México",Salto del Agua #235,Metropolitana 2da sección,Estado de México,57740
859,"Paseo del río 20, Ciudad de México",Paseo del río 20,Paseos de Taxqueña,Ciudad de México,4250
860,"Dr. Atl 205, Ciudad de México",Dr. Atl 205,Santa maria la ribera,Ciudad de México,6400
861,"Shakespeare 39, Ciudad de México",Shakespeare 39,ANZURES,Ciudad de México,11590
862,"Providencia no. 511, Ciudad de México",Providencia no. 511,Del Valle,Ciudad de México,3100
863,"Paseo Del Río 111 casa 1520, Ciudad de México",Paseo Del Río 111 casa 1520,Chimalistac,Ciudad de México,4319
864,"Arkansas 5, Ciudad de México",Arkansas 5,Napoles,Ciudad de México,3810
865,"arteaga 2 int 4, Morelos",arteaga 2 int 4,centro cuernavaca,Morelos,62000
866,"San Lorenzo 921-801, Ciudad de México",San Lorenzo 921-801,Del Valle,Ciudad de México,3100
867,"Tejedores s/n esq. pescadores, Ciudad de México",Tejedores s/n esq. pescadores,Unidad habitacional el Rosario,Ciudad de México,2100
868,"Minerva 92, Ciudad de México",Minerva 92,Florida,Ciudad de México,1030
869,"3er cerrada de San Miguelito No.24, Ciudad de México",3er cerrada de San Miguelito No.24,Pueblo San Miguel Ajusco,Ciudad de México,14700
870,"Loma florida 21, Ciudad de México",Loma florida 21,LOMAS DE VISTA HERMOSA,Ciudad de México,5100
871,"Acapulco 51, colonia Roma Norte. Entre Durango y Sinaloa, Ciudad de México","Acapulco 51, colonia Roma Norte. Entre Durango y Sinaloa",Roma Norte,Ciudad de México,6700
872,"Schiller 152, Ciudad de México",Schiller 152,CHAPULTEPEC MORALES,Ciudad de México,11570
873,"Felipe Montero Mz 47 Lt 1, Ciudad de México",Felipe Montero Mz 47 Lt 1,Paraje San Juan,Ciudad de México,9830
874,"Decorado 45, Ciudad de México",Decorado 45,Veinte de noviembre,Ciudad de México,15300
875,"Tehuantepec 237, Ciudad de México",Tehuantepec 237,ROMA SUR,Ciudad de México,6760
876,"Calle Golf #155, colonia Country Club, CP 04220, Ciudad de México","Calle Golf #155, colonia Country Club, CP 04220",Country Club,Ciudad de México,4220
877,"Álvaro Obregón No 2, Estado de México",Álvaro Obregón No 2,Tepetlixpa,Estado de México,56880
878,"Cofre de perote 359, Ciudad de México",Cofre de perote 359,Lomas de Chapultepec,Ciudad de México,11000
879,"Choapan 45, Ciudad de México",Choapan 45,Condesa,Ciudad de México,6140
880,"Xochicalco 320, Ciudad de México",Xochicalco 320,Narvarte,Ciudad de México,3020
881,"Chiapas 124 A y B, Ciudad de México",Chiapas 124 A y B,Roma,Ciudad de México,6700
883,"Calzada Ignacio Zaragoza 2980 UH concordia, Ciudad de México",Calzada Ignacio Zaragoza 2980 UH concordia,Santa Martha Acatitla,Ciudad de México,9510
884,"Tlacotalpan 10, Ciudad de México",Tlacotalpan 10,Roma,Ciudad de México,6760
885,"Camino del éxito 115, Ciudad de México",Camino del éxito 115,Campestre Aragón,Ciudad de México,7530
886,"Plan de San Luis N. 95, Ciudad de México",Plan de San Luis N. 95,Ejidos de Sta. Ma. Aztahuacan,Ciudad de México,9500
887,"Rhin Amsterdam mz 10 lt 11, Ciudad de México",Rhin Amsterdam mz 10 lt 11,Insurgentes,Ciudad de México,9750
888,"Toussaint 24 - 7, Ciudad de México",Toussaint 24 - 7,Barrio del Niño Jesus,Ciudad de México,4330
889,"Lauro Aguirre, #32, Ciudad de México","Lauro Aguirre, #32",Agricultura,Ciudad de México,11360
890,"Cordoba 97, Ciudad de México",Cordoba 97,Roma Norte,Ciudad de México,6700
892,"6 B sur 3731, Puebla",6 B sur 3731,ANZURES,Puebla,72530
894,"Puerto Salina Cruz 14, Ciudad de México",Puerto Salina Cruz 14,Ampliación Casas Alemán,Ciudad de México,7580
895,"Avelino Ortega 42, Ciudad de México",Avelino Ortega 42,Presidentes Ejidales,Ciudad de México,4470
896,"Batallones rojos #205 colonia progresista, edificio 62 y 67, Ciudad de México","Batallones rojos #205 colonia progresista, edificio 62 y 67",Progresista,Ciudad de México,9240
897,"Edificio 25, departamento 203. Villa Olímpica. Insurgentes 3493, colonia Tlalpan CP 14090, Ciudad de México","Edificio 25, departamento 203. Villa Olímpica. Insurgentes 3493, colonia Tlalpan CP 14090",Cuicuilco,Ciudad de México,14090
898,"Oklahoma 129, Ciudad de México",Oklahoma 129,Napoles,Ciudad de México,3810
900,"puebla 96, Ciudad de México",puebla 96,Roma,Ciudad de México,6700
901,"Costado Atrio de San Francisco No. 18, Ciudad de México",Costado Atrio de San Francisco No. 18,Cuadrante de San Francisco,Ciudad de México,4320
903,"1a cerrada av. 699 numero 2, Ciudad de México",1a cerrada av. 699 numero 2,Unidad CTM Aragon,Ciudad de México,7990
905,"Sanitario, Ciudad de México",Sanitario,Cuadrado,Ciudad de México,14370
906,"tabachines MZ 15 lte 6, Estado de México",tabachines MZ 15 lte 6,fraccionamiento.floresta,Estado de México,56420
907,"calle central edificio 11depto 12, Ciudad de México",calle central edificio 11depto 12,"alanza popular revolucionaria delegacion coyoacan,fovissste miramontews ciudad de mexico",Ciudad de México,4800
908,"Rosa Náutica no. 1, Ciudad de México",Rosa Náutica no. 1,Molino de Rosas,Ciudad de México,1470
909,"Nilo s/n, Ciudad de México",Nilo s/n,CLAVERÍA,Ciudad de México,2080
910,"California 16, Col. Parque de San Andrés, delegación coyoacan, Ciudad de México","California 16, Col. Parque de San Andrés, delegación coyoacan",Parque de san Andrés,Ciudad de México,4040
911,"Isabel la católica 617, Ciudad de México",Isabel la católica 617,Alamos,Ciudad de México,3400
